Alpha Gain,Alpha Loss,Beta,Gamma,propB,propC
0.325,0.225,0.5,1.0,0.39150000000000007,0.5984999999999997
0.325,0.25,0.5,1.0,0.36579999999999996,0.6241999999999999
0.325,0.275,0.5,1.0,0.3719000000000002,0.6181
0.325,0.3,0.5,1.0,0.3241999999999999,0.6657999999999997
0.325,0.325,0.5,1.0,0.29009999999999986,0.6998999999999999
0.325,0.35,0.5,1.0,0.31259999999999993,0.6774000000000001
0.325,0.375,0.5,1.0,0.3007999999999999,0.6891999999999999
0.325,0.4,0.5,1.0,0.2806999999999999,0.7092999999999996
0.325,0.425,0.5,1.0,0.2087,0.7812999999999996
0.325,0.45,0.5,1.0,0.27529999999999993,0.7146999999999996
0.325,0.475,0.5,1.0,0.24120000000000005,0.7487999999999998
0.35,0.0,0.5,1.0,0.4183999999999999,0.5716000000000001
0.35,0.025,0.5,1.0,0.3053,0.6846999999999995
0.35,0.05,0.5,1.0,0.29490000000000005,0.6950999999999996
0.35,0.075,0.5,1.0,0.23699999999999996,0.7529999999999996
0.35,0.1,0.5,1.0,0.34259999999999996,0.6473999999999996
0.35,0.125,0.5,1.0,0.322,0.6680000000000001
0.35,0.15,0.5,1.0,0.27330000000000004,0.7166999999999999
0.35,0.175,0.5,1.0,0.34070000000000006,0.6492999999999999
0.35,0.2,0.5,1.0,0.28019999999999995,0.7097999999999998
0.35,0.225,0.5,1.0,0.3447,0.6452999999999999
0.35,0.25,0.5,1.0,0.3791000000000001,0.6108999999999998
0.35,0.275,0.5,1.0,0.3410000000000001,0.6489999999999996
0.35,0.3,0.5,1.0,0.33119999999999983,0.6587999999999998
0.35,0.325,0.5,1.0,0.2924999999999999,0.6974999999999996
0.35,0.35,0.5,1.0,0.2635999999999999,0.7264
0.35,0.375,0.5,1.0,0.25229999999999986,0.7376999999999999
0.35,0.4,0.5,1.0,0.283,0.7069999999999999
0.35,0.425,0.5,1.0,0.2551,0.7349000000000001
0.35,0.45,0.5,1.0,0.23029999999999998,0.7596999999999998
0.35,0.475,0.5,1.0,0.26959999999999995,0.7203999999999998
0.375,0.0,0.5,1.0,0.44449999999999984,0.5455
0.375,0.025,0.5,1.0,0.4012000000000001,0.5888000000000003
0.375,0.05,0.5,1.0,0.4044,0.5855999999999998
0.375,0.075,0.5,1.0,0.2985000000000001,0.6914999999999998
0.375,0.1,0.5,1.0,0.30150000000000005,0.6884999999999996
0.375,0.125,0.5,1.0,0.30690000000000006,0.6830999999999997
0.375,0.15,0.5,1.0,0.3317,0.6582999999999997
0.375,0.175,0.5,1.0,0.3296,0.6603999999999998
0.375,0.2,0.5,1.0,0.3109,0.6790999999999997
0.375,0.225,0.5,1.0,0.3045999999999999,0.6854
0.375,0.25,0.5,1.0,0.31379999999999986,0.6761999999999999
0.375,0.275,0.5,1.0,0.32919999999999994,0.6607999999999998
0.375,0.3,0.5,1.0,0.3390999999999999,0.6508999999999999
0.375,0.325,0.5,1.0,0.31860000000000005,0.6713999999999998
0.375,0.35,0.5,1.0,0.3101999999999999,0.6798000000000002
0.375,0.375,0.5,1.0,0.32160000000000005,0.6683999999999999
0.375,0.4,0.5,1.0,0.2701,0.7199
0.375,0.425,0.5,1.0,0.24400000000000005,0.7460000000000001
0.375,0.45,0.5,1.0,0.2505,0.7395
0.375,0.475,0.5,1.0,0.20649999999999988,0.7835000000000001
0.4,0.0,0.5,1.0,0.4674000000000001,0.5225999999999998
0.4,0.025,0.5,1.0,0.3905000000000002,0.5994999999999999
0.4,0.05,0.5,1.0,0.3650999999999999,0.6249000000000001
0.4,0.075,0.5,1.0,0.2836,0.7064
0.4,0.1,0.5,1.0,0.2833000000000001,0.7067
0.4,0.125,0.5,1.0,0.3736999999999999,0.6163
0.4,0.15,0.5,1.0,0.3871999999999998,0.6027999999999999
0.4,0.175,0.5,1.0,0.3725,0.6174999999999998
0.4,0.2,0.5,1.0,0.3639,0.6260999999999999
0.4,0.225,0.5,1.0,0.3145000000000001,0.6755000000000001
0.4,0.25,0.5,1.0,0.3449000000000001,0.6450999999999999
0.4,0.275,0.5,1.0,0.30389999999999995,0.6860999999999997
0.4,0.3,0.5,1.0,0.30019999999999997,0.6897999999999999
0.4,0.325,0.5,1.0,0.28469999999999984,0.7053000000000001
0.4,0.35,0.5,1.0,0.3286999999999998,0.6612999999999998
0.4,0.375,0.5,1.0,0.2838,0.7061999999999995
0.4,0.4,0.5,1.0,0.24609999999999985,0.7438999999999997
0.4,0.425,0.5,1.0,0.3479,0.6421000000000001
0.4,0.45,0.5,1.0,0.2791999999999999,0.7108
0.4,0.475,0.5,1.0,0.18499999999999994,0.8049999999999998
0.425,0.0,0.5,1.0,0.5337999999999998,0.4562
0.425,0.025,0.5,1.0,0.41019999999999995,0.5798000000000003
0.425,0.05,0.5,1.0,0.32870000000000005,0.6612999999999996
